Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SP500,NASDAQ,VIX,US10Y
2015-01-02 00:00:00-05:00,4.915143013000488,5.033143043518066,4.873143196105957,4.984857082366943,134750000,0.0,0.0,2058.199951171875,4726.81005859375,17.790000915527344,
2015-01-05 00:00:00-05:00,4.925857067108154,4.925857067108154,4.714714050292969,4.731142997741699,181650000,0.0,0.0,2020.5799560546875,4652.56982421875,19.920000076293945,
2015-01-06 00:00:00-05:00,4.734714031219482,4.763999938964844,4.566143035888672,4.650143146514893,160377000,0.0,0.0,2002.6099853515625,4592.740234375,21.1200008392334,
2015-01-07 00:00:00-05:00,4.734714031219482,4.742143154144287,4.627142906188965,4.674285888671875,98497000,0.0,0.0,2025.9000244140625,4650.47021484375,19.309999465942383,
2015-01-08 00:00:00-05:00,4.711999893188477,4.783570766448975,4.647857189178467,4.7779998779296875,96019000,0.0,0.0,2062.139892578125,4736.18994140625,17.010000228881836,
2015-01-09 00:00:00-05:00,4.763143062591553,4.802000045776367,4.689857006072998,4.704143047332764,95781000,0.0,0.0,2044.81005859375,4704.06982421875,17.549999237060547,
2015-01-12 00:00:00-05:00,4.709000110626221,4.719857215881348,4.526429176330566,4.554714202880859,129444000,0.0,0.0,2028.260009765625,4664.7099609375,19.600000381469727,
2015-01-13 00:00:00-05:00,4.602142810821533,4.704856872558594,4.590000152587891,4.625570774078369,187215000,0.0,0.0,2023.030029296875,4661.5,20.559999465942383,
2015-01-14 00:00:00-05:00,4.7071428298950195,4.736999988555908,4.567999839782715,4.631999969482422,198849000,0.0,0.0,2011.27001953125,4639.31982421875,21.479999542236328,
2015-01-15 00:00:00-05:00,4.654714107513428,4.6785712242126465,4.584428787231445,4.625143051147461,116690000,0.0,0.0,1992.6700439453125,4570.81982421875,22.389999389648438,
2015-01-16 00:00:00-05:00,4.685713768005371,4.824999809265137,4.638143062591553,4.819142818450928,196966000,0.0,0.0,2019.4200439453125,4634.3798828125,20.950000762939453,
2015-01-20 00:00:00-05:00,4.857142925262451,5.0,4.771429061889648,4.9828572273254395,405510000,0.0,0.0,2022.550048828125,4654.85009765625,19.889999389648438,
2015-01-21 00:00:00-05:00,5.923429012298584,5.923999786376953,5.741000175476074,5.846857070922852,669025000,0.0,0.0,2032.1199951171875,4667.419921875,18.850000381469727,
2015-01-22 00:00:00-05:00,5.857142925262451,6.137429237365723,5.7828569412231445,6.120571136474609,333193000,0.0,0.0,2063.14990234375,4750.39990234375,16.399999618530273,
2015-01-23 00:00:00-05:00,6.0988569259643555,6.274285793304443,6.0881428718566895,6.249429225921631,267841000,0.0,0.0,2051.820068359375,4757.8798828125,16.65999984741211,
2015-01-26 00:00:00-05:00,6.257143020629883,6.389856815338135,6.195713996887207,6.379428863525391,212688000,0.0,0.0,2057.090087890625,4771.759765625,15.520000457763672,
2015-01-27 00:00:00-05:00,6.308713912963867,6.533999919891357,6.304999828338623,6.488142967224121,246127000,0.0,0.0,2029.550048828125,4681.5,17.219999313354492,
2015-01-28 00:00:00-05:00,6.474143028259277,6.482142925262451,6.308143138885498,6.320857048034668,245329000,0.0,0.0,2002.1600341796875,4637.990234375,20.440000534057617,
2015-01-29 00:00:00-05:00,6.320428848266602,6.392714023590088,6.25,6.340000152587891,151277000,0.0,0.0,2021.25,4683.41015625,18.760000228881836,
2015-01-30 00:00:00-05:00,6.313285827636719,6.398428916931152,6.265571117401123,6.311429023742676,132153000,0.0,0.0,1994.989990234375,4635.240234375,20.969999313354492,
2015-02-02 00:00:00-05:00,6.284286022186279,6.3428568840026855,6.195570945739746,6.301000118255615,129906000,0.0,0.0,2020.8499755859375,4676.68994140625,19.43000030517578,
2015-02-03 00:00:00-05:00,6.331999778747559,6.546713829040527,6.2729997634887695,6.527429103851318,164402000,0.0,0.0,2050.030029296875,4727.740234375,17.329999923706055,
2015-02-04 00:00:00-05:00,6.504143238067627,6.517428874969482,6.388999938964844,6.41014289855957,124509000,0.0,0.0,2041.510009765625,4716.7001953125,18.329999923706055,
2015-02-05 00:00:00-05:00,6.454143047332764,6.513856887817383,6.366570949554443,6.413000106811523,142485000,0.0,0.0,2062.52001953125,4765.10009765625,16.850000381469727,
2015-02-06 00:00:00-05:00,6.425000190734863,6.442856788635254,6.31757116317749,6.3480000495910645,88984000,0.0,0.0,2055.469970703125,4744.39990234375,17.290000915527344,
2015-02-09 00:00:00-05:00,6.319857120513916,6.378571033477783,6.263713836669922,6.329570770263672,81732000,0.0,0.0,2046.739990234375,4726.009765625,18.549999237060547,
2015-02-10 00:00:00-05:00,6.3460001945495605,6.515714168548584,6.310142993927002,6.485000133514404,154189000,0.0,0.0,2068.590087890625,4787.64013671875,17.229999542236328,
2015-02-11 00:00:00-05:00,6.482999801635742,6.614142894744873,6.455714225769043,6.498428821563721,139531000,0.0,0.0,2068.530029296875,4801.18017578125,16.959999084472656,
2015-02-12 00:00:00-05:00,6.505856990814209,6.560713768005371,6.445143222808838,6.52471399307251,84644000,0.0,0.0,2088.47998046875,4857.60986328125,15.34000015258789,
2015-02-13 00:00:00-05:00,6.5428571701049805,6.663000106811523,6.542285919189453,6.658570766448975,129689000,0.0,0.0,2096.989990234375,4893.83984375,14.6899995803833,
2015-02-17 00:00:00-05:00,6.651570796966553,6.737143039703369,6.594429016113281,6.713714122772217,111706000,0.0,0.0,2100.340087890625,4899.27001953125,15.800000190734863,
2015-02-18 00:00:00-05:00,6.7022857666015625,6.807000160217285,6.6645708084106445,6.786571025848389,103166000,0.0,0.0,2099.679931640625,4906.35986328125,15.449999809265137,
2015-02-19 00:00:00-05:00,6.785714149475098,6.871428966522217,6.757429122924805,6.78000020980835,104321000,0.0,0.0,2097.449951171875,4924.7001953125,15.289999961853027,
2015-02-20 00:00:00-05:00,6.795000076293945,6.837429046630859,6.763713836669922,6.8314290046691895,94220000,0.0,0.0,2110.300048828125,4955.97021484375,14.300000190734863,
